"Jag är full","I am full"
"De har bestämt sig för att bo ihop.","They have decided to live together."  
"Danmark","Denmark"  
"Köpenhamn ligger i Danmark.","Copenhagen is in Denmark."  
"nähä","I see"  
"Nähä, då förstår jag!","Oh, I see, now I understand!"  
"ungefär","about; approximately"  
"Det tar ungefär en timme.","It takes about an hour."  
"par (paret, –, paren)","couple"  
"Det lyckliga paret dansade hela kvällen.","The happy couple danced all evening."  
"gifta sig (gifter sig, gifte sig, gift sig)","get married"  
"De ska gifta sig i september.","They will get married in September."  
"varje","each; every"  
"Hon går till gymmet varje dag.","She goes to the gym every day."  
"år (året, –, åren)","year"  
"Ett år har tolv månader.","A year has twelve months."  
"cirka","approximately"  
"Det bor cirka tio miljoner människor i Sverige.","Approximately ten million people live in Sweden."  
"skilja sig (skiljer sig, skilde sig, skilt sig)","get divorced"  
"De skiljde sig efter fem år.","They got divorced after five years."  
"sedan","since"  
"Jag har bott här sedan 2020.","I have lived here since 2020."  
"person (personen, personer, personerna)","person"  
"Varje person måste betala avgiften.","Each person must pay the fee."  
"samma","same"  
"Vi har samma favoritfilm.","We have the same favourite film."  
"kön (könet, –, könen)","gender"  
"Formuläret frågade efter kön.","The form asked for gender."  
"man (mannen, män, männen)","man; husband"  
"Min man heter Erik.","My husband’s name is Erik."  
"kvinna (kvinnan, kvinnor, kvinnorna)","woman"  
"Hon är en stark kvinna.","She is a strong woman."  
"källa (källan, källor, källorna)","source"  
"Boken listar alla sina källor.","The book lists all its sources."  
"skild (skilt, skilda)","divorced"  
"Han är skild sedan två år.","He has been divorced for two years."  
"separerad (separerat, separerade)","separated"  
"De är separerade men vänner.","They are separated but friends."  
"fru (frun, fruar, fruarna)","wife"  
"Hans fru arbetar som läkare.","His wife works as a doctor."  
"pojke (pojken, pojkar, pojkarna)","boy"  
"Pojken spelar fotboll i parken.","The boy is playing football in the park."  
"flicka (flickan, flickor, flickorna)","girl"  
"Flickan läser en bok.","The girl is reading a book."  
"bonusbarn (bonusbarnet, –, bonusbarnen)","stepchild"  
"Han har ett bonusbarn från sin frus tidigare äktenskap.","He has a step-child from his wife's previous marriage."  
"presens","present tense"  
"Verb i presens slutar ofta på –r.","Verbs in the present tense often end in –r."  
"fakta (faktan)","facts"  
"Vi behöver korrekta fakta.","We need correct facts."
